LATITUDE LONGITUDE
38.8405 -82.8473
40.6521 -75.4408
40.6398 -73.7789
40.509 -122.293
40.4915 -80.2329
40.4812 -107.218
40.47710037 -88.91590118
40.4123 -86.9369
37.2958 -81.2077
40.1935 -76.7634
40.0392 -88.2781
39.998056 -82.891944
39.9427 -91.1946
39.9024 -84.2194
39.8719 -75.2411
38.1825 -84.9047
30.9715 -84.6374
39.7954 -121.858
39.761 -104.892
39.9352 -86.045
39.6426 -106.918
39.49909973144531 -119.76799774169922
39.4576 -74.5772
39.4515 -87.3076
39.2976 -94.7139
39.2232 -106.869
46.118 -122.898
39.1225 -108.526667
39.0488 -84.6678
38.9445 -77.4558
38.8939 -119.995
38.8521 -77.0377
45.6185 -121.167
38.8058 -104.701
38.7487 -90.37
41.1908 -83.3945
43.3508 -76.3881
38.509 -122.813
38.3731 -81.5932
38.3667 -82.558
38.2891 -104.497
38.1744 -85.736
38.1386 -78.4529
38.037 -87.5324
38.0365 -84.6059
37.8942 -121.238
37.8583 -80.3995
37.755 -89.0111
31.2757 -85.7134
37.7213 -122.221
40.8844 -78.0873
37.6258 -120.954
37.62409973 -118.8379974
37.619 -122.375
45.1483 -92.5381
37.362778 -121.929167
37.3255 -79.975403
37.2847 -120.514
39.8403 -83.8402
37.2253 -89.5708
37.1515 -107.754
37.1518 -94.4983
44.5804 -124.058
37.0608 -88.7738
36.9376 -76.2893
36.77619934082031 -119.71800231933594
36.587 -121.843
36.4752 -82.4074
36.1984 -95.8881
36.1245 -86.6782
36.0978 -79.9373
33.9208 -80.8013
36.00510025024414 -94.17009735107422
35.8776 -78.7875
33.9208 -80.8013
35.4362 -82.5418
35.4336 -119.057
35.3931 -97.6007
35.336667 -94.3675
35.3314 -77.6088
35.2368 -120.642
35.2194 -101.706
35.2140007019043 -80.94309997558594
35.1385 -111.671
35.3567 -89.8703
35.0402 -106.609
35.0353 -85.2038
34.9912 -78.8803
34.8989 -120.457
34.8957 -82.2189
34.8292 -77.6121
40.5163 -106.866
34.6372 -86.7751
34.5677 -98.4166
34.4262 -119.84
34.270556 -77.9025
34.2008 -119.207
33.5269 -112.295
44.0205 -117.014
33.9888 -98.4919
33.9425 -118.408
33.9388 -81.1195
33.8297 -116.507
33.8177 -118.152
33.6797 -78.9283
33.6757 -117.868
33.6636 -101.823
33.6367 -84.4281
33.5629 -86.7535
33.4537 -93.991
33.4343 -112.012
33.3699 -81.9645
32.7009 -80.0029
32.9876 -97.3188
32.8471 -96.8518
32.7336 -117.19
32.6566 -114.606
32.5163 -84.9389
42.6149 -89.5904
32.5402 -93.745
32.4113 -99.6819
43.3508 -76.3881
32.3541 -95.4024
42.2598 -84.4594
32.30059814 -86.39399719
32.1276 -81.2021
32.1161 -110.941
31.9425 -102.202
31.8072 -106.378
31.6113 -97.2305
31.3274 -92.5498
31.3577 -100.496
31.067199707 -97.82890319820001
33.1119 -112.269
30.5886 -96.3638
30.5332 -91.1496
30.3363 -81.5144
30.489444 -86.542222
30.4734 -87.1866
30.3965 -84.3503
35.0216 -94.6213
30.2121 -85.6828
30.2053 -91.9876
30.1261 -93.2233
29.8253 -90.035
32.5106 -83.7673
43.3508 -76.3881
29.6901 -82.2718
29.6454 -95.2789
29.812700271606445 -98.42530059814453
29.1799 -81.0581
28.4356 -81.4731
28.1028 -80.6453
27.9755 -82.5332
40.7545 -74.0071
27.6926 -97.2911
27.5438 -99.4616
27.39539909362793 -82.55439758300781
26.593 -80.0851
26.5362 -81.7552
26.227222 -97.655
26.1758 -98.2386
26.0725 -80.152778
25.7932 -80.2906
21.976 -159.339
21.32062 -157.924228
21.1529 -157.096
20.9629 -156.673
20.8986 -156.43
20.7856 -156.951
19.7388 -156.046
19.7214 -155.048
18.4949 -67.1294
18.4394 -66.0018
18.3373 -64.9734
18.2557 -67.1485
18.0083 -66.563
33.9705 -80.9952
16.7286 -169.534
15.119 145.729
14.1743 145.243
13.4834003448 144.796005249
7.36731 134.544236
-14.331 -170.71
40.7545 -74.0071
